,MuonEnergy,RecoE
1852,1823.930,1380.521
1853,869.285,753.944
1854,659.173,604.923
1855,655.008,705.527
1856,803.451,864.620
1857,606.213,586.288
1858,497.389,535.803
1859,673.312,695.902
1860,1104.750,1265.557
1861,692.115,703.177
1862,1196.470,1321.838
1863,791.363,799.580
1864,854.205,917.246
1865,961.466,1009.287
1866,711.319,838.409
1867,501.882,652.544
1868,1199.710,1223.165
1869,748.969,924.827
1870,640.664,793.784
1871,1182.220,1117.119
1872,846.312,987.984
1873,677.603,942.031
1874,772.010,716.633
1875,823.574,871.029
1876,1051.970,1086.390
1877,743.827,711.390
1878,811.783,903.822
1879,633.245,535.598
1880,474.459,568.200
1881,717.088,744.493
1882,1007.040,955.855
1883,685.444,916.630
1884,707.221,744.835
1885,1049.480,1117.132
1886,620.689,732.298
1887,709.199,714.800
1888,632.922,688.399
1889,744.082,700.088
1890,906.983,925.857
1891,1549.310,1603.553
1892,1362.170,1291.530
1893,971.457,997.902
1894,498.239,488.506
1895,803.599,1002.449
1896,770.080,730.655
1897,838.835,784.918
1898,982.796,1020.499
1899,1304.950,907.178
1900,720.548,768.878
1901,562.780,464.218
1902,608.002,757.176
1903,1595.460,1343.029
1904,1048.240,1021.328
1905,1069.710,1122.913
1906,1302.170,1412.387
1907,688.006,712.975
1908,1092.830,1141.268
1909,951.702,897.539
1910,558.492,625.445
1911,801.639,760.614
1912,521.697,605.665
1913,888.023,885.236
1914,757.302,876.027
1915,1371.100,1504.417
1916,1173.620,1158.879
1917,698.942,796.298
1918,1584.700,1275.225
1919,774.669,795.825
1920,1165.260,798.623
1921,783.829,825.870
1922,1024.320,1002.373
1923,797.248,846.346
1924,451.286,508.685
1925,1219.330,1396.170
1926,733.552,674.185
1927,655.121,699.541
1928,1497.990,1422.256
1929,535.478,775.134
1930,518.812,548.217
1931,891.442,878.704
1932,895.920,847.354
1933,600.520,623.091
1934,1612.720,1512.386
1935,1189.170,1082.041
1936,747.264,866.915
1937,1290.510,1145.321
1938,1275.470,1452.973
1939,814.082,837.369
1940,1201.110,1403.018
1941,575.286,629.861
1942,540.043,560.752
1943,1284.180,765.803
1944,912.489,945.786
1945,932.626,910.891
1946,1204.700,1135.745
1947,616.214,597.274
1948,524.658,630.282
1949,979.435,885.046
1950,910.070,1038.707
1951,458.694,524.474
1952,920.636,927.389
1953,936.196,755.700
1954,1659.230,1433.558
1955,1313.150,1312.769
1956,852.745,973.383
1957,642.860,716.610
1958,585.200,600.682
1959,1061.300,1065.884
1960,664.786,725.571
1961,614.166,898.178
1962,837.885,808.308
1963,563.010,616.796
1964,843.365,831.715
1965,1236.040,1262.579
1966,1205.140,1457.318
1967,1390.070,1310.447
1968,768.353,719.498
1969,1712.830,1404.031
1970,624.804,633.797
1971,534.004,575.818
1972,1371.910,944.804
1973,1002.430,1027.182
